Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Algeria,distribution losses ,0.777,0.954,1.065,1.39,1.649,1.846,1.854,1.845,2.135,2.2,2.313,2.624,2.228,3.029,3.214,3.34,3.815,4.373,4.581,4.73,4.105,4.337,4.346,4.209,4.976,4.475,6.295,6.647,7.287,7.859,9.091,9.899,11.068,11.023,11.003,11.196,10.682,10.869,9.904,9.897,8.98001,8.770749362
        Angola,distribution losses ,0.169,0.169,0.18,0.196,0.168,0.202,0.202,0.203,0.204,0.205,0.211,0.267,0.27,0.27,0.271,0.273,0.292,0.115,0.192,0.194,0.211,0.238,0.258,0.288,0.59,0.662,0.39,0.431,0.416,0.474,0.627,0.637,0.699,0.926,1.068,1.078,1.167,1.207373,1.447861,1.741409,1.845236,1.868901294
        Benin,distribution losses ,0.021,0.026,0.016,0.032,0.028,0.03,0.03,0.039,0.044,0.04,0.043,0.049,0.032,0.043,0.038,0.042,0.04,0.042,0.044,0.053,0.059,0.087,0.098,0.107,0.114,0.113,0.126,0.125,0.14,0.208,0.207,0.204,0.212,0.229,0.232,0.277,0.288,0.297,0.295489,0.363,0.346,0.361714286
        Botswana,distribution losses ,0.03101,0.03514,0.03423,0.03038,0.03115,0.03192,0.03766,0.05922,0.056,0.05579,0.05964,0.06153,0.07616,0.07189,0.07308,0.07329,0.05313,0.0609,0.144,0.144,0.164,0.11,0.117,0.19,0.171,0.214,0.29,0.343,0.327,0.381,0.333,0.434,0.393,0.34,0.255,0.529,0.564,0.579,0.509,0.631,0.667,0.667
        Burkina Faso,distribution losses ,0.00686,0.00756,0.00805,0.00819,0.00791,0.00805,0.00854,0.00931,0.01001,0.01071,0.01218,0.01274,0.0133,0.01435,0.01442,0.01624,0.01841,0.01974,0.02184,0.02436,0.049,0.064,0.057,0.069,0.0764,0.082,0.0849,0.103,0.095,0.102,0.1031,0.1148,0.1354,0.1578,0.1745,0.1832,0.1832,0.2235,0.219,0.1614,0.18,0.18
        Burundi,distribution losses ,0.00021,0.00028,0.00028,0.00175,0.00287,0.00329,0.00434,0.00665,0.00728,0.00721,0.00763,0.00784,0.00742,0.0077,0.00812,0.00833,0.00826,0.00847,0.00777,0.00693,0,0.025,0.03,0.029,0.027,0.028,0.025,0.03,0.032,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.040009672
        Cabo Verde,distribution losses ,0.00105,0.00105,0.00147,0.00154,0.00182,0.00189,0.00196,0.00217,0.00231,0.00231,0.00273,0.0035,0.00399,0.00462,0.00525,0.00546,0.00581,0.00616,0.00672,0.0077,0.0208,0.03728,0.03074,0.035624,0.040585,0.040883,0.054069,0.06776,0.07656,0.07706,0.08443,0.08903,0.09726,0.10214,0.10277,0.1044,0.1178,0.1305,0.1261,0.1272,0.13,0.135423643
        Cameroon,distribution losses ,0.107,0.146,0.121,0.144,0.219,0.188,0.311,0.28,0.3,0.304,0.352,0.376,0.377,0.375,0.507,0.608,0.587,0.612,0.629,0.695,0.761,0.909,0.763,0.877,0.79,0.698,0.629,0.49,0.538,0.54,0.58,1.091,1.602,1.879,2.114,1.663,1.693,1.79,1.805,1.864,1.981,1.981
        Central African Republic,distribution losses ,0.00469,0.00462,0.0049,0.00476,0.00504,0.00539,0.00651,0.00637,0.00644,0.00644,0.00651,0.00644,0.00658,0.00665,0.00693,0.007,0.00714,0.00728,0.00714,0.00721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
        Chad,distribution losses ,0.00308,0.00336,0.00343,0.00336,0.00343,0.00357,0.00455,0.00553,0.00532,0.00539,0.00595,0.00574,0.00553,0.00567,0.0056,0.00588,0.00595,0.00595,0.00602,0.00602,0.00665,0.007,0.00749,0.00805,0.00854,0.00903,0.0091,0.00903,0.0105,0.01464,0.016,0.01744,0.03525,0.04035,0.0429,0.0435,0.0441,0.04485,0.04545,0.0462,0.0462,0.04885
