Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Algeria,installed capacity ,2.306,2.809,3.187,3.436,3.546,3.736,3.836,3.936,4.656,4.657,4.657,5.369,5.369,5.814,6.007,6.007,6.039,6.04,6.044,6.044,6.398,6.4,6.835,6.845,7.251,7.499,7.899,8.134,8.134,11.327,11.3271,11.4471,13.0231,15.025,15.8791,17.119,19.078,19.602,21.208,21.695,21.694,21.694
        Angola,installed capacity ,0.6,0.6,0.6,0.6,0.6,0.6,0.605,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.708,0.596,0.596,0.596,0.586,0.586,0.635,0.665,0.665,0.8306,0.8306,0.8432,1.446,1.462,1.462,1.469,1.583,1.656,1.718,1.786,2.108,2.618,4.551,5.445,6.943,7.344,7.344
        Benin,installed capacity ,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.06,0.06,0.08,0.08,0.082,0.085,0.085,0.09,0.09,0.09,0.09,0.091,0.092,0.092,0.203,0.203,0.203,0.207,0.207,0.241,0.278,0.3462,0.3479,0.3479,0.3479,0.4749,0.4749,0.4749
        Botswana,installed capacity ,0.133,0.133,0.152,0.154,0.13,0.184,0.184,0.184,0.184,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.152,0.1521,0.153,0.754,0.622,0.622,0.623,0.755,0.799,0.766,0.766,0.766
        Burkina Faso,installed capacity ,0.039,0.055,0.055,0.058,0.077,0.077,0.06,0.068,0.065,0.065,0.07,0.078,0.083,0.075,0.078,0.078,0.121,0.121,0.121,0.121,0.1215,0.1775,0.1775,0.1777,0.2141,0.237,0.256,0.251,0.254,0.254,0.242,0.267,0.304,0.25415,0.2925,0.3339,0.3359,0.3729,0.3879,0.3898,0.3918,0.3918
        Burundi,installed capacity ,0.009,0.012,0.022,0.027,0.032,0.032,0.032,0.032,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.054,0.054,0.054,0.054,0.054,0.059,0.046,0.048,0.046,0.041,0.0371,0.037,0.037,0.037,0.057,0.063,0.061,0.061,0.067,0.069,0.069,0.068,0.083,0.0995,0.0995,0.0995,0.0995
        Cabo Verde,installed capacity ,0.003,0.004,0.004,0.004,0.006,0.006,0.007,0.007,0.007,0.007,0.018,0.02,0.023,0.026,0.029,0.032,0.034,0.037,0.039,0.042,0.047,0.053,0.081,0.079,0.079,0.0798,0.0718,0.0748,0.0898,0.0898,0.1038,0.1335,0.1355,0.141851,0.153975,0.162618,0.1691,0.198935,0.204081,0.204381,0.204581,0.204581
        Cameroon,installed capacity ,0.423,0.553,0.592,0.592,0.623,0.625,0.625,0.625,0.625,0.627,0.627,0.627,0.627,0.627,0.627,0.82,0.82,0.817,0.817,0.819,0.796,0.87,1.065,1.0751,1.0801,1.0141,0.9251,0.9222,0.9372,1.023,1.008,1.289,1.344,1.619,1.836,1.906,1.941,2.036592,1.6815,1.7235,1.7535,1.7535
        Central African Republic,installed capacity ,0.038,0.037,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.03975,0.03975,0.04,0.04,0.04,0.0397,0.038,0.038,0.038,0.044,0.044,0.0441,0.0442,0.0443,0.0443,0.0443,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383
        Chad,installed capacity ,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.03,0.031,0.031,0.032,0.031,0.031,0.031,0.041,0.043,0.0881,0.0881,0.0882,0.0893,0.0893,0.0891,0.0891,0.0899,0.0899
