Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Afghanistan,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Australia,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        China,exports ,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.04,0.09,0.26,0.26,0.445,3.893,6.025,7.7,8.051,7.157,9.65,10.3,10.4,10.704,10.339,9.476,11.194,12.271,14.566,16.644,17.386,19.059,19.307,17.653,18.669,18.158,18.654,18.907,19.47,20.906,21.655,21.793,22.47314286
        Hong Kong,exports ,0.308,0.237,0.272,0.368,0.74,1.05,1.208,1.362,1.44,1.77,1.797,3.06,4.963,4.5,1.758,1.483,0.531,0.559,0.61,0.633,1.181,1.581,2.175,3.008,3.087,4.498,4.528,4.035,3.552503,3.731,2.609,2.957,1.838,1.65,1.226,1.187,1.205,1.341,0.556,0,0,0
        India,exports ,0.042,0.094,0.078,0.089,0.111,0.107,0.067,0.03,0.097,0.091,0.095,0.07,0.146,0.101,0.12,0.05,0.13,0.321,0.27,0.187,0.195,0.232,0.175,0.058,0.04,0.209,0.216,0.29,0.388,0.058,0.062,0.135,0.154,1.651,4.433,5.15,6.71,7.203,8.494,9.491,9.426,9.324028326
        Indonesia,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Japan,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Laos,exports ,0.735,0.74,0.752,0.701,0.71,0.616,0.584,0.287,0.274,0.369,0.52,0.662,0.638,0.58,0.637,0.705,0.78,0.73072,1.45831,1.99617,2.92939,2.86185,2.7365,2.25683,2.44307,2.5,2.49,2.23,2.315,1.921,6.646,10.669,10.363,12.494,11.936,11.549,19.65,24.901,27.216,24.114,30.859,32.62570919
        North Korea,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Pakistan,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Philippines,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Singapore,exports ,0.092,0.074,0.052,0.055,0.073,0.05,0,0,0,0,0,0,0,0.052,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        South Korea,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Taiwan,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Vietnam,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0.964,1.087,1.224,1.337,0.885,1.416,1.409,1.65,1.509,2.067,1.555,1.555
