Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Afghanistan,imports ,0,0,0,0,0,0,0,0,0,0,0,0.125,0.131,0.1,0.128,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.105,0.432,0.609,0.752,1.155,1.572,2.246,3.071,3.615,3.71,3.779,4.333,4.6113,4.986,4.912,5.15188,5.368356939
        Australia,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        China,imports ,0.308,0.237,0.33,0.43,0.8,1.11,1.21,1.3,1.51,1.55,1.93,3.11,4.98,4.5,1.63,0.755,0.124,0.089,0.1,0.366,1.546,1.8,2.3,2.975,3.4,5.011,5.389,4.251,3.842,6.006,5.545,6.562,6.874,7.438,6.75,6.21,6.185,6.423,5.688,4.858,4.751,4.772423567
        Hong Kong,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,3.753,5.875,7.6,7.876,7.02,9,10.204,10.4,10.182,10.397,9.837,11.001,10.897,10.959,10.801,10.963,10.511,10.735,11.156,9.969,10.288,11.742,11.621,12.576,12.599,12.382,12.7,12.555
        India,imports ,0.005,0.005,0.006,0.004,0.006,0.016,0.17,0.885,1.095,0.928,1,1.4,1.425,1.44,1.55,1.675,1.65,1.575,1.49,1.35,1.54,1.5,1.52,1.748,1.735,1.763,2.957,5.23,5.899,5.359,5.61,5.253,4.795,5.598,5.008,5.244,5.617,5.072,4.396,6.351,9.318,7.443109361
        Indonesia,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.00222,0.00254,0.00299,0.00303,0.00899,0.01275,0.6927,1.11947,1.49589,1.68312,1.553,0.97273
        Japan,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Laos,imports ,0.008,0.009,0.013,0.025,0.022,0.02,0.017,0.018,0.02,0.013,0.013,0.026,0.041,0.025,0.025,0.043,0.05,0.045,0.13,0.16,0.1,0.182,0.201,0.229,0.278,0.3,0.63,0.79,0.85,1.18,1.21,0.904,1.329,1.272,1.559,2.05,0.862,0.5,0.302,1.345,1.489,1.475335033
        North Korea,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Pakistan,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.109,0.146,0.171,0.199,0.227,0.249,0.269,0.274,0.375,0.419,0.443,0.463,0.496,0.556,0.487,0.514,0.514,0.513412812
        Philippines,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Singapore,imports ,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        South Korea,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Taiwan,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Vietnam,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0.966,2.63,3.22,4.102,5.599,4.96,2.676,3.663,2.326,2.393,2.736,2.361,3.124,3.316,3.067,3.077273574
