Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Afghanistan,installed capacity ,0.374,0.427,0.427,0.45,0.45,0.47,0.47,0.489,0.489,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.492,0.492,0.492,0.292,0.407,0.498,0.491,0.489,0.489,0.524,0.514,0.514,0.52107,0.59407,0.59417,0.57117,0.5871,0.6011,0.5861,0.5871,0.6341,0.6364,0.7674,0.7764,0.7764,0.7764
        Australia,installed capacity ,24.142,25.938,28.016,28.635,31.23,32.695,33.349,34.593,34.939,35.165,38.119,37.684,38.394,39.518,41.141,41.789,42.472,43.148,44.335,45.539,46.626,47.578,50.31,51.616,51.869,50.635,51.2141,53.9821,54.8521,57.5301,60.9341,63.7421,65.8361,67.0491,68.8841,75.2391,74.1631,72.520408,75.154645,80.176244,88.813148,93.685148
        China,installed capacity ,65.871,69.13,72.36,76.44,80.117,87.045,93.82,102.897,115.497,126.638,137.891,151.173,166.532,183.549,201.1642,218.7122,238.118,256.326,279.656,302.072,325.526,344.714,364.05,398.067,449.0006,518.5108,626.5898,718.5158,794.202,878.842,970.896,1067.207,1154.973,1267.177,1379.678,1518.608,1660.129,1790.794,1911.98,2023.578,2224.791,2355.55
        Hong Kong,installed capacity ,3.342,3.606,4.032,4.734,5.268,5.58,5.953,6.614,7.453,7.456,8.342,8.387,8.932,9.037,10.323,10.096,10.092,10.876,11.312,11.312,11.568,11.568,11.606,11.683,11.683,11.804,12.3808,12.6448,12.6248,12.6248,12.6638,12.6638,12.6648,12.6648,12.6648,12.6648,12.6648,12.5388,12.3288,12.3668,13.2728,13.2768
        India,installed capacity ,34.379,37.376,40.719,44.941,49.309,53.522,56.585,61.964,67.769,72.643,75.712,79.158,83.167,88.269,92.865,96.184,97.716,100.287,103.467,108.307,112.215,123.785,128.609,131.177,137.858,146.208,154.6698,169.8443,178.816,191.762,209.178,238.98874,263.52121,285.27994,314.3538116,346.867066,370.6226291,393.5192809,428.274096,442.561855,453.459498,469.464
        Indonesia,installed capacity ,5.211,5.861,6.43,7.062,7.82,8.604,9.794,10.8,11.951,12.593,12.779,12.879,13.921,15.775,15.653,15.824,16.81,19.785,22.279,21.593,23.126,23.494,23.498,26.991,27.238,29.045,32.21201,32.7666,32.1748,35.11,37.257,41.83842,47.21241,52.692987,54.790038,54.63245,61.67026,62.9609,66.18715,68.90003,69.08688,69.75575
        Japan,installed capacity ,142.766,150.205,153.671,159.575,164.035,168.036,173.468,177.629,180.828,185.76,193.681,198.288,204.507,212.095,219.607,224.747,233.864,240.046,247.681,250.975,259.32,262.524,267.1955,269.739,274.6935,276.939,278.9705,279.581,282.3445,285.12,287.804,290.5855,296.372,304.1265,274.691,284.9605,298.206,308.945301,318.56439,323.260511,328.344512,334.617512
        Laos,installed capacity ,0.175,0.175,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.256,0.256,0.256,0.25,0.32,0.315,0.315,0.432,0.432,0.432,0.662,0.662,0.674,0.723,0.7226,0.731,0.731,0.731,0.731,1.855,2.57,2.62,3.023,3.0597,3.335495,6.316205,6.774718,6.970218,7.303285,7.3477,9.4237,10.1557
        North Korea,installed capacity ,6.5,7,7.5,8.5,8.7,8.7,8.9,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5002,8.4002,7.0112,6.9622,7.2632,7.266339,7.271158,7.482994,7.691734,7.79578,8.19878,8.203,8.413,8.423
        Pakistan,installed capacity ,3.763,4.123,4.784,4.787,6.585,6.875,7.485,7.885,8.055,8.206,7.727,8.344,9.357,10.574,11.307,12.088,12.957,14.677,15.816,17.387,17.953,18.217,18.143,19.437,19.572,19.694,19.693,19.718,20.21,21.348,23.355,23.214,23.164,24.581,25.496,25.178,27.80465,32.22065,36.179,38.01,40.049,41.385
        Philippines,installed capacity ,4.05,4.497,4.842,5.37,5.646,5.849,6.094,6.125,6.2,6.266,6.34,6.768,6.918,7.292,8.475,8.869,10.08,10.175,10.497,10.763,13.6,13.792,15.038,15.4605,16.233,16.304,16.488,16.621,16.366,16.305,17.044,16.87,17.716,18.004,18.699,19.399,22.816,24.309,25.479,27.326,28.0404,28.7514
        Singapore,installed capacity ,2.01,2.106,2.691,2.691,2.691,2.741,3.371,3.371,3.38,3.38,3.667,3.8,4.1,4.513,4.553,4.678,5.255,5.765,5.521,6.73,6.73,7.642,8.968,8.968,8.968,9.8598,9.6448,10.1698,10.5118,10.4888,10.4122,10.3192,10.4872,11.4685,13.1371,13.2771,13.407,13.5771,13.6221,12.7859,12.2459,12.3428
        South Korea,installed capacity ,9.01273,9.41273,9.82273,12.58873,13.66473,15.96317,17.78655,17.68527,18.57874,19.60166,19.62504,19.71454,22.72479,26.25771,29.222,32.533,38.369,44.744,48.264,50.812,53.026,57.055,58.259,60.934,63.755,66.259,69.96,73.246,79.931,80.74,85.882,84.93,88.27,91.59,100.378,103.956,112.69,125.012685,130.108626,134.003456,137.818313,142.962313
        Taiwan,installed capacity ,9.61,10.807,12.595,13.178,14.7,16.79,17.333,17.465,17.723,17.671,18.448,20.208,21.201,21.408,20.727,21.638,23.503,25.476,26.42,28.22,34.512564,35.256209,37.864909,39.842401,41.69254,43.162934,45.020323,45.848482,46.341586,47.944486,48.854586,48.777212,48.378922,48.799122,48.413122,48.6654,49.5797,49.2861,52.6659332,56.136092,57.819692,59.37192954
        Vietnam,installed capacity ,1.17,1.18,1.19,1.22,1.45,1.55,1.65,1.75,1.85,1.95,2.155,2.3,2.935,3.41,4.05,4.43,4.648,4.895,5.703,5.643,6.673,8.159,9,9.46,12.232,12.588,13.014,13.354,15.049,19.283,25.725,27.902,31.36,32.805255,33.460255,38.022255,43.267255,44.17,44.84,54.51,65.363,69.168
