Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Afghanistan,net consumption,0.87606,0.92256,0.88536,0.93,0.94767,0.96162,1.05555,1.13274,1.0044,1.01277,1.02114,1.04477,0.76805,0.72961,0.75017,0.68544,0.62057,0.56407,0.5278,0.52315,0.442,0.567,0.657,0.889,0.844,0.889,1.069,1.345,1.28001,1.8731,2.2043,2.6133,3.549,4.2284,4.349,4.4402,4.9577,5.26056,5.51093,5.31469,5.28916,5.530597212
        Australia,net consumption,78.227,81.717,88.356,89.591,95.546,99.889,106.969,111.642,120.921,128.119,135.404,137.996,140.1334,143.988,147.502,152.334,156.54566,161.721,172.088,176.177,182.96956,193.37082,199.56076,202.29056,211.34346,200.1373,204.131836,214.773976,214.640056,222.689996,219.107043,225.966257,220.378073,217.885825,232.303085,219.056959,231.72609,238.498993,238.8835944,238.6344388,239.4844909,237.485875
        China,net consumption,261.492,268.754,285.858,307.606,330.13,351.318,385.299,425.192,466.479,498.708,549.342,597.204,666.142,738.807,818.535,876.577,920.966,983.495,1017.457,1076.767,1178.033,1314.783,1459.429,1676.829,1955.39,2196.172,2523.947,2891.542,3070.853,3290.103,3716.55362,4182.66356,4439.87758,4846.24602,5078.71756,5273.535637,5585.625151,6057.175784,6450.426757,6802.698896,7115.077185,7805.656341
        Hong Kong,net consumption,10.13,10.724,11.526,13.055,13.971,14.774,16.382,20.033,21.387,20.746,22.099,23.409,24.053,25.469,23.079,26.51,29.75,30.508,32.224,32.329,36.95,37.822,38.67,39.096,39.902,40.799,40.918,41.648,41.152097,41.721,42.10836,42.50032,43.64982,43.26222,44.58982,44.43456,44.64176,44.33592,44.793,45.4,44.215767,46.32022044
        India,net consumption,97.898,107.442,113.695,117.213,130.42,140.645,154.717,166.86,185.924,202.681,219.879,240.203,255.687,275.674877,297.98,318.336,323.097,344.504,360.501,365.536,383.924,391.979982,420.808,442.127,470.993,496.732,548.192,580.237,629.04,680.088,727.51078,841.71238,891.71308,946.3276169,1041.945749,1093.537704,1161.54307,1228.624117,1312.596163,1342.052063,1328.658815,1442.750051
        Indonesia,net consumption,11.299,13.363,15.472,15.553,17.132,23.126,26.952,28.869,32.282,32.563,38.497,40.544,43.803,47.548,51.31,50.082,56.852,64.216,66.045,71.008,77.66996,82.9794,85.0239,88.86252,99.59422,106.775,111.956,120.61502,127.3824,133.47336,145.0577,157.06324,180.20471,192.98739,202.66545,208.10663,221.40104,232.14794,247.269816,254.669125,266.032579,281.5298376
        Japan,net consumption,521.374,522.127,528.362,560.357,593.94,609.764,614.442,663.17,695.604,731.602,772.584,797.667,805.674,813.417,866.555,890.385,910.51003,937.534,943.324,949.515,936.235,919.667,932.99,923.699,953.059,962.937,980.61,1020.313,954.104,926.602,1032.074897,997.232672,1000.306711,979.909071,983.904336,962.442903,956.720654,965.224223,963.9000025,944.8867835,914.5201395,913.0781497
        Laos,net consumption,0.17324,0.32827,0.36584,0.31073,0.22154,0.23635,0.23001,0.26017,0.23425,0.29407,0.29187,0.21774,0.23814,0.28851,0.21477,0.33589,0.41297,0.434,0.501,0.553,0.60776,0.70943,0.77467,0.864,0.53517,0.988,1.41,1.61,1.925,2.267,2.358,2.425,2.9444,3.232,3.648,3.96746,4.37225,3.759248,4.284086,5.517933,7.022364,6.065839386
        North Korea,net consumption,20.2,20.768,22.733,22.887,25.827,28.608,30.08,30.698,32.428,32.566,32.885,32.837,23.968,23.419,23.23,23.084,21.082,19.025,18.174,15.147,15.68,16.325,15.99558,17.00626,17.80756,18.57464,18.17564,17.49402,18.84982,17.46556,17.95156,15.95384,15.92224,15.23548,14.86486,11.39718,14.03284,12.33334,12.76944,11.27962,12.70086662,12.10801386
        Pakistan,net consumption,10.157,11.417,15.41,16.977,19.074,21.82,23.855,26.011,29.904,31.801,30.54,31.409,35.409,33.573242,39.864,38.852582,38.402,42.557,40.043,44.938,46.854,49.98,52.402,57.185,60.215,67.265,72.574,72.23,68.559,73.529,79.436,79.049,82.098,88.421295,90.143952,95.57,100.566,111.02,123.6062,119.153,119.390716,132.3234316
