Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Nicaragua,distribution losses ,0.152,0.142,0.151,0.173,0.128,0.149,0.185,0.203,0.192,0.26,0.245,0.319,0.347,0.387,0.454,0.497,0.532,0.504,0.596,0.557,0.716,0.769,0.79,0.819,0.817,0.825,0.845,0.845,0.852,0.829,0.939,0.947,0.951,0.977,1.049,1.083,1.051,0.99581,0.977887,1.088589,1.046315,1.049223158
        Panama,distribution losses ,0.284,0.309,0.356,0.343,0.409,0.469,0.521,0.557,0.517,0.641,0.693,0.711,0.7,0.713,0.728,0.75,0.812,0.952,0.904,0.897,1.166,1.066,1.109,1.036,0.976,0.93,0.927,0.911,0.778,1.016,1.08,1.08,1.177,1.206,1.311,1.386,1.511,1.44755,1.423251,1.309,1.207658,1.207658
        Paraguay,distribution losses ,0.044,0.08,0.137,0.165,0.099,0.187,0.18,0.288,0.3,0.971,0.083,0.011,0.043,0.475,0.546,0.666,0.078,1.178,1.387,1.466,1.428,1.455,1.561,1.883,2.202,2.368,2.64,2.754,2.914,3.13,3.369,3.433,3.845,3.369,3.402,3.59,3.821,4.0003,4.02051,4.47015,4.22748,4.340871429
        Peru,distribution losses ,1.302,1.333,1.251,1.011,1.174,1.418,1.558,1.856,1.914,1.895,1.883,1.581,2.301,2.697,3.266,3.01,2.883,2.883,2.394,2.294,2.287,2.236,2.276,2.317,2.359,2.381,2.549,2.54,2.658,2.686,3.634,2.277,3.38,4.564,5.016,5.321,5.503,5.539828,5.965627,6.407694,6.410788,6.410788
        Puerto Rico,distribution losses ,0.93107,0.91406,0.77798,0.79282,0.82481,0.81102,0.84763,0.90608,0.94864,0.94255,0.99724261,1.04024018,1.08120894,1.1325104,1.17841066,1.21849924,1.25152958,1.31201833,1.34486597,1.40727608,1.30881,1.33812,1.390536,1.436238,1.448112,1.497708,1.496784,1.478184,1.392816,1.37931,1.39464,1.335444,1.338354,1.289592,1.264008,1.25466,1.238646,0.982284,0.523581,1.133178,1.12644,1.12644
        Saint Kitts and Nevis,distribution losses ,0.00238,0.00238,0.00245,0.00231,0.00231,0.00231,0.00231,0.00238,0.00245,0.00245,0.00427,0.00553,0.00553,0.00455,0.0049,0.00532,0.00539,0.00595,0.00609,0.00644,0.024,0.026,0.028,0.029,0.029,0.032,0.032,0.035,0.034,0.0382,0.0385,0.0396,0.0388,0.039,0.039,0.0313,0.036,0.045,0.04,0.04,0.04,0.04
        Saint Lucia,distribution losses ,0.00378,0.00406,0.00399,0.00448,0.00448,0.00476,0.0049,0.00525,0.00679,0.00679,0.00686,0.00693,0.01001028,0.01121442,0.01188866,0.0129346,0.01303057,0.01402506,0.01552096,0.01685761,0.0306,0.0306,0.0344,0.0351,0.0301,0.033,0.0333,0.0347,0.0361,0.0336,0.036,0.037234,0.036948,0.033791,0.033574,0.030013,0.029432,0.02745,0.025317,0.026658,0.026658,0.026658
        Saint Vincent/Grenadines,distribution losses ,0.00182,0.00189,0.0021,0.0021,0.00238,0.00266,0.0028,0.00301,0.00329,0.00336,0.00343,0.00357,0.00385,0.0042,0.00427,0.00483,0.00511,0.00532,0.00567,0.00567,0.0116,0.0103,0.0104,0.0098,0.0104,0.0111,0.0105,0.010431,0.011201,0.010742,0.009798,0.010119,0.009209,0.009559,0.009769,0.009336,0.010561,0.009021,0.011083,0.0098,0.0098,0.010061933
        Suriname,distribution losses ,0.078,0.07,0.073,0.074,0.067,0.056,0.062,0.048,0.065,0.092,0.091,0.118,0.119,0.12,0.12,0.12,0.117,0.119,0.118,0.12,0.105,0.111,0.121,0.12,0.127,0.137,0.138,0.14,0.1551,0.1566,0.147,0.17558,0.17752,0.1966,0.1896,0.241713889,0.2166,0.21685,0.42615,0.45242,0.45,0.45
        The Bahamas,distribution losses ,0.05593,0.04998,0.05334,0.05733,0.05698,0.05922,0.05957,0.05971,0.05985,0.0609,0.06251,0.07469,0.07665,0.08008,0.08407,0.08253,0.08491,0.08974,0.09751,0.10248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15015469,0.14724451,0.15,0.148748208
