Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Nicaragua,imports ,0.009,0.012,0.117,0.338,0.268,0.197,0.2,0.2,0.2,0.21,0.21,0.058,0.035,0,0,0,0.02,0.162,0.043,0.08,0.114,0.017,0.016,0.012,0.023,0.025,0.05332,0.06395,0.028,0.002,0.01,0.01,0.02,0.05197,0.022,0.034,0.205,0.327,0.201,0.434,1.071,1.355061335
        Panama,imports ,0,0,0,0,0,0.03,0.103,0.232,0.232,0.172,0.204,0.203,0.211,0.192,0.033,0.15,0.075,0.065,0.057,0.045,0.2,0.045,0.035,0.002,0.078,0.055,0.034393,0.00874,0.105,0.06423,0.071,0.072,0.019,0.075,0.193,0.0171,0.03,0.0066,0.0132,0.0773,0.1169,0.060230867
        Paraguay,imports ,0.153,0.23,0.349,0.226,0.224,0.002,0.002,0.002,0.002,0.003,0.003,0,0.002,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0.002,0.00063,0,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0
        Peru,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.005,0,0,0.0005,0.022,0.0166,0.0212,0.06005,0.037,0.037
        Puerto Rico,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Saint Kitts and Nevis,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Saint Lucia,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Saint Vincent/Grenadines,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Suriname,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.32,0.443,0.129,0.439,0.891,0.808,0.8183,0.8,0.8
        The Bahamas,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Trinidad and Tobago,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Turks and Caicos Islands,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        U.S. Virgin Islands,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Uruguay,imports ,0.034,0.036,0.021,0.016,0.012,0,0,0,0,0.028,0.051,0,0.012,0.015,0.015,0.22,0.309,0.271,0.078,0.715,1.328,0.335,0.529,0.434,2.348,1.585,2.835,0.789,0.963,1.468,0.387,0.47,0.742,0,0,0.002,0.024,0.003,0.013956,0,0.514,0.514
        Venezuela,imports ,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.071,0.014,0.014,0.182,0.556,0.036,0.867,0,0,0,0.102,0.26,0,0.249,0.48,0.715,0.024,0,0,0,0,0,0,0
