Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Nicaragua,installed capacity ,0.365,0.364,0.36,0.359,0.359,0.35,0.35,0.353,0.353,0.356,0.356,0.387,0.387,0.387,0.387,0.387,0.376,0.4015,0.6378,0.5712,0.66932,0.6554,0.7138,0.7584,0.87621,0.89633,0.88455,0.95192,1.01306,1.10445,1.19629,1.24344,1.42711,1.42503,1.46217,1.48017,1.57247,1.65832,1.66072,1.823506,1.838506,1.838506
        Panama,installed capacity ,0.566,0.564,0.585,0.879,0.898,0.894,0.899,0.942,0.942,0.952,0.957,0.957,0.957,0.959,0.957,0.957,0.959,0.984,1.049,1.1821,1.2581,1.2697,1.206,1.334,1.5937,1.6326,1.478,1.52,1.615,1.8,1.911,2.133,2.418,2.5203,2.8018,3.1447,3.3018,3.4675,3.8235,4.1299,4.15,4.341
        Paraguay,installed capacity ,0.24,0.294,0.294,0.644,1.337,1.635,3.384,4.434,5.484,5.833,6.533,6.533,6.533,6.533,6.533,6.913,7.151,7.433,7.433,7.4285,7.4285,7.4161,7.4161,7.4161,7.4161,7.4161,8.116,8.136,8.136,8.816,8.816001,8.816005,8.816005,8.864175,8.864175,8.864175,8.849975,8.849975,8.849975,8.832557,8.832557,8.832557
        Peru,installed capacity ,3.238,3.377,3.424,3.502,3.514,3.748,3.871,4.006,4.012,4.141,4.182,4.172,4.152,4.375,4.43,4.553,4.632,5.036,5.6411,5.6139,6.10155,5.9411,5.97087,6.01041,6.05667,6.2832,6.7017,7.0877,7.2177,8.0617,8.2137,9.0497,9.3067,10.9297,10.281,10.899,13.822,14.595,14.907,15.119662,15.396662,15.341662
        Puerto Rico,installed capacity ,4.3,4.1,4.1,4.1,4.1,4.2,4.2,4.22,4.22,4.23,4.23,4.23,4.23,4.23,4.396,4.396,4.396,4.396,4.903,4.9178,4.9028,4.9028,5.358,5.358,5.357425,5.402,5.493,5.515,5.457,5.841,6.033,6.034,6.2,6.23,6.235,6.369,6.406,6.437,5.974,6.3476,6.3986,6.5286
        Saint Kitts and Nevis,installed capacity ,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.019,0.019,0.019,0.02,0.05,0.052,0.052,0.052,0.052,0.052,0.049,0.0549,0.0549,0.055,0.0552,0.0572,0.0616,0.062,0.0636,0.0636,0.0646,0.0644,0.071,0.071,0.071,0.071
        Saint Lucia,installed capacity ,0.016,0.016,0.016,0.016,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.0317,0.0329,0.0402,0.0445,0.0445,0.0445,0.0599,0.0599,0.0599,0.0664,0.0664,0.0664,0.0568,0.0568,0.0658,0.0658,0.076,0.076,0.076,0.076,0.076,0.0885,0.0885,0.0885,0.0894,0.0894,0.0894,0.0924,0.0924,0.0924,0.0924
        Saint Vincent/Grenadines,installed capacity ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.016,0.016,0.016,0.0156,0.0339,0.0339,0.0376,0.0366,0.04,0.0417,0.0417,0.0417,0.0417,0.041,0.041,0.0525,0.0526,0.0529,0.0516,0.0539,0.0544,0.049,0.046,0.0493,0.0493,0.0483
        Suriname,installed capacity ,0.409,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.4102,0.4663,0.467,0.537,0.5024,0.5035,0.5102,0.5328,0.5355,0.5427,0.5437,0.5337
        The Bahamas,installed capacity ,0.307,0.361,0.406,0.406,0.406,0.406,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.455,0.493,0.493,0.493,0.493,0.493,0.4933,0.5914,0.592,0.592,0.5765,0.5765,0.5765,0.5765,0.5765,0.5775,0.5775,0.5775
