Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Nicaragua,net generation,1.062,1.094,1.044,0.934,0.971,1.025,0.93,1.22,1.163,1.349,1.351,1.383,1.495,1.598,1.6,1.682,1.797,1.765,2.009,2.062,2.1291,2.3402,2.7043,2.6083,2.6993,3.00773,3.09937,2.92762,3.22675,3.5523,3.513,3.66886,3.8947,4.040576,4.35395,4.441065,4.47846,4.399389,4.540872,4.463606,4.417365124,4.624157975
        Panama,net generation,1.791,1.999,2.177,2.31,2.353,2.496,2.724,2.777,2.718,2.673,2.793,2.912,2.849,3.151,3.256,3.483,4.114,4.177,3.642,4.376,4.766,4.943,5.147,5.384,5.606,5.665,5.862,6.3276,6.24072,6.73214,7.15098,7.55894,8.35966,8.68386,8.34792,9.35252,9.9875,10.63472,10.64248,10.37908,11.0524,11.20340229
        Paraguay,net generation,0.763,0.793,0.709,0.824,0.935,4.121,11.974,18.569,19.95,24.253,27.229,29.39,27.181,31.167,36.071,41.757,44.915,50.4,50.422,51.449,52.969,44.876,47.744,51.26933333,51.417,50.657,53.249,53.191,54.912,54.41,53.52494,57.04994,59.63282,59.90482,54.86764,55.33294,63.30294,59.22988,58.75377,49.07259,46.50896,40.023132
        Peru,net generation,9.95944,10.6864,11.35806,10.69922,11.62904,12.16208,12.96554,13.94652,13.4339,13.47786,13.19,13.891,12.836,14.505,14.497,16.439,16.939,17.534,18.16,18.633,19.53705,20.42205,21.57805,22.48805,23.84705,25.34005,26.72405,29.14005,32.01605,31.66305,34.27861,37.50145,38.41784,41.64966,43.4642,46.23952,49.83334,52.463094,54.681916,56.561868,52.818457,58.135907
        Puerto Rico,net generation,13.301,13.058,11.114,11.326,11.783,11.586,12.109,12.944,13.552,13.465,14.246323,14.860574,15.445842,16.17872,16.834438,17.407132,17.878994,18.743119,19.212371,20.103944,21.813,22.302,23.175,23.937,24.135,24.9622843,23.837,22.305,20.921,20.7098,20.8958,20.0178,21.203,20.497,20.416,20.415061,20.961866,16.691,16.988629,17.267,17.149,18.24765736
        Saint Kitts and Nevis,net generation,0.034,0.034,0.035,0.033,0.033,0.033,0.033,0.034,0.035,0.035,0.061,0.079,0.079,0.065,0.07,0.076,0.077,0.085,0.087,0.092,0.094,0.094,0.103,0.119,0.122,0.125,0.127,0.157,0.167,0.173,0.179,0.189,0.2,0.206,0.20634,0.202674,0.211886,0.21274,0.21374,0.21374,0.203241562,0.215865022
        Saint Lucia,net generation,0.054,0.058,0.057,0.064,0.064,0.068,0.07,0.075,0.097,0.097,0.098,0.099,0.143004,0.160206,0.169838,0.18478,0.186151,0.200358,0.221728,0.240823,0.26014,0.269347,0.26857,0.281044,0.290028,0.304197,0.310914,0.324956,0.331195,0.341211,0.358,0.362,0.361796,0.3601,0.35686514,0.35957292,0.36924314,0.37758,0.37843632,0.3500737,0.332542021,0.353622342
        Saint Vincent/Grenadines,net generation,0.026,0.027,0.03,0.03,0.034,0.038,0.04,0.043,0.047,0.048,0.049,0.051,0.055,0.06,0.061,0.069,0.073,0.076,0.081,0.081,0.09,0.094,0.097,0.103,0.114,0.125838,0.126961,0.13376264,0.131965,0.132,0.136,0.132,0.132,0.135,0.13400086,0.1388075,0.14485714,0.14199702,0.1425094,0.147,0.156935628,0.164227508
        Suriname,net generation,1.524,1.324,1.304,1.077,1.108,1.172,1.167,0.671,0.887,1.343,1.501,1.682,1.726,1.75,1.77,1.594,1.406,1.414,1.421,1.44,1.397,1.416,1.431,1.444,1.457,1.518,1.563,1.563,1.564,1.566,1.68136,1.88639,1.89524,1.91721,1.92423,1.942551,1.908281,1.876011,1.891111,1.958828,1.932095038,2.020408283
        The Bahamas,net generation,0.799,0.714,0.762,0.819,0.814,0.846,0.851,0.853,0.855,0.87,0.893,1.067,1.095,1.144,1.201,1.179,1.213,1.282,1.393,1.464,1.565,1.626,1.716,1.81,1.794703,1.8944,1.927583,2.045213,2.05,1.945,1.8895,1.9316,1.7869,1.774,1.809,1.88,1.85,1.870067,2.145067,2.103493,1.997366495,2.124974398
