Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Gibraltar,exports ,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Greece,exports ,0.038,0.089,0.049,0.032,0.03,0.209,0.297,0.362,0.392,0.637,0.619,0.854,0.362,0.284,0.43,0.593,1.314,0.709,0.89,1.647,1.74,1.062,1.706,2.076,2.034,1.836,1.938,2.057,1.962,3.233,2.811001,3.947999,4.169001,3.901001,0.641999,1.473001,1.036999,2.458998,2.2719999,1.1229999,0.9669883,3.8976397
        Hungary,exports ,2.795,2.641,1.68,1.741,1.32,1.924,1.346,1.997,2.322,1.875,2.039,1.047,1.521,0.756,0.9,0.805,1.28,2.261,3.302,2.34,6.083,7.232,8.349,7.138,3.056,9.41,8.186,10.694,8.871,5.459,4.702,8.021,9.003,4.758,5.689,6.249,5.24,6.925001,4.2649999,7.2690002,7.4990001,7.2132168
        Iceland,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ireland,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.185,0.076,0.073,0.049,0.071,0.288,0.062,0.01,0,0.001,0.009,0.082,0.303,0.175,0.289562,0.241526,0.370129,0.382971,0.703958,1.078605,1.58301,1.79491,1.6492487,1.5350386,1.9129656,0.8629981
        Italy,exports ,1.989,1.97,3.018,2.886,1.083,1.436,1.814,1.672,0.718,0.725,0.922,0.372,0.647,0.677,1.09,1.235,0.76,0.995,0.901,0.528,0.484,0.549,0.922,0.518,0.791,1.109,1.611,2.648,3.398,2.111,1.827,1.786999,2.303998,2.199999,3.031001,4.471002,6.153999,5.134231,3.2714149,5.8337071,7.5895549,3.7702692
        Norway,exports ,2.501,7.154,6.704,13.847,9.13,4.627,2.18,3.32,7.355,15.166,16.233,6.049,10.103,8.376,4.96,8.966,4.24,4.875,4.412,8.277,20.529,7.174,15.046,5.548,3.854,15.695,8.947,15.32,17.275,14.634,7.124001,14.329,22.006,15.141,21.932,22.016,22.150999,21.276,18.4889022,12.3089999,24.9682649,25.8188721
        Poland,exports ,4.396,4.227,5.95,7.183,9.233,7.568,7.796,8.703,7.98,10.268,11.478,9.326,9.066,8.011,7.2,7.157,7.925,7.542,8.082,8.426,9.663,11.035,11.537,15.146,14.605,16.188,15.775,13.109,9.703,9.594,7.664,12.022002,12.642999,12.322,11.342,14.793,12.018,10.983999,8.121301,7.245352,7.357075,14.212064
        Portugal,exports ,0.518,0.14,0.4,1.057,1.366,1.284,0.989,0.675,1.027,1.271,1.696,1.62,1.197,1.902,1.355,1.741,3.01,2.477,3.7,4.488,3.767,3.502,3.43,3.104,2.131,2.802,3.183,2.153,1.313,2.822,3.191001,3.929,2.870998,5.324001,6.343999,5.811,9.701001,8.189703,8.3245361,4.7011472,6.096938,4.7915858
        Romania,exports ,0.77,0.758,0.364,1.469,1.118,0,0,0,0,0,0,1.874,0.218,1.118,1.05,0.456,1.435,0.817,0.715,1.93,1.47,2.077,3.29,3.046,3.766,5.224,5.262,3.359,5.169,2.946,3.041,5.316,3.65,4.753,9.937,11.22,9.194,7.73538,6.241025,3.974614,5.459332,6.499
        Spain,exports ,3.688,4.116,4.78,4.186,2.99,5.002,4.152,4.703,4.804,4.579,3.628,3.762,3.71,3.339,3.245,3.147,5.69,7.67,5.562,6.24,7.827,6.727,7.175,8.257,11.139,11.555,12.373,14.524,16.92,14.855,13.539,14.022999,18.986,16.637999,15.715999,15.089,14.178,14.592999,12.916,11.8585142,14.64878,16.5061585
        Sweden,exports ,2.834,6.16,2.603,5.484,5.336,6.683,6.494,6.344,7.671,12.526,14.672,7.519,10.995,8.566,6.4,9.401,9.75,12.961,16.799,16.1,13.63,18.454,14.754,11.457,17.75,21.968,11.497,14.736,14.715,9.08,12.853002,19.714,31.255,22.675999,29.475,31.894,26.022,30.888,29.425,35.2310001,36.823942,33.9095858
        Switzerland,exports ,16.668,20.104,19.148,20.267,20.844,23.21,20.886,20.314,22.447,20.213,22.862,22.578,23.86,26.719,28.08,26.69,24.19,27.502,29.561,31.952,31.4,34.54,32.308,33.196,27.759,31.996,31.1,36.88,32.736,33.525,32.881,32.237001,33.749,32.27,34.021,35.067999,30.173,30.946,32.607,35.7649999,32.548,28.9682098
        Turkiye,exports ,0,0,0,0,0,0,0,0,0,0,0.907,0.506,0.314,0.589,0.55,0.696,0.345,0.271,0.298,0.285,0.437,0.433,0.435,0.588,1.144,1.798,2.236,2.422,1.122,1.546,1.918001,3.645,2.954002,1.227001,2.696,3.195001,1.451999,3.303671,3.111877,2.788667,2.4836431,4.1864777
        United Kingdom,exports ,0.019,0,0,0,0,0,0.189,0.037,0.013,0.899,0.047,0.015,0.032,0.005,0,0.023,0.04,0.041,0.131,0.263,0.134,0.264,0.7677,2.959,2.2942,2.8392,2.7647,3.3984,1.2716,3.7482,4.481,2.467,1.9104,3.10192,2.72335,1.85531,2.27287,3.40705,2.22476,3.38512,4.48084,4.1655456
