Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Gibraltar,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Greece,imports ,0.654,0.398,0.771,1.915,2.591,0.948,1.584,0.977,0.7,1.028,1.33,1.498,0.967,1.093,0.82,1.4,2.66,3.01,2.5,1.811,1.729,3.562,4.602,4.169,4.854,5.616,6.14,6.412,7.575,7.601,8.517001,7.18,5.954001,5.788001,9.461,11.080998,9.833,8.696,8.55,11.067,9.8285567,7.5831879
        Hungary,imports ,10.182,10.625,10.421,10.817,11.589,12.732,11.862,12.61,13.614,12.959,13.309,8.409,4.85,3.25,3,3.21,3.47,4.41,4.042,3.403,9.523,10.403,12.605,14.077,10.524,15.637,15.393,14.68,12.774,10.972,9.897,14.664,16.970001,16.635,19.079,19.935,17.951001,19.802999,18.6130001,19.853,19.1760001,19.967019
        Iceland,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ireland,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.064,0.152,0.29,0.169,0.038,0.565,1.176,1.574,2.045,1.787,1.412,0.753,0.939,0.759889,0.731621,0.783605,2.625165,2.853016,1.751975,0.871263,1.116408,1.6215188,2.1795789,1.7611118,2.3094839
        Italy,imports ,8.072,11.602,10.169,13.968,21.973,25.105,23.928,24.818,31.974,34.454,35.277,35.46,35.9,40.109,38.7,38.7,38.145,39.84,41.633,42.538,44.831,48.926,51.519,51.486,46.426,50.264,46.596,48.931,43.433,47.07,45.987,47.518998,45.407001,44.338001,46.747,50.849,43.181,42.894882,47.1702041,43.9749401,39.7899399,46.5644406
        Norway,imports ,2.039,1.925,0.642,0.431,0.86,4.083,4.212,2.983,1.727,0.314,0.283,3.275,1.359,0.594,4.84,2.301,13.21,8.693,8.046,6.856,1.474,10.745,5.335,13.422,15.309,3.653,9.801,5.285,3.412,5.651,14.673,11.254001,4.191002,10.135001,6.347003,7.371,5.74,6.111,8.339724,12.3530001,4.4961449,8.2350599
        Poland,imports ,4.161,4.184,4.265,4.079,4.636,5.456,7.833,10.422,12.456,12.059,10.438,6.71,4.8,5.6,4.6,4.4,4.8,5.36,4.608,3.491,3.29,4.306,4.469,4.985,5.312,5.002,4.789,7.761,9.034,7.403,6.31,6.78,9.803,7.800999,13.507999,14.459,14.017,13.271,13.8158042,17.868327,20.624119,15.099836
        Portugal,imports ,2.346,3.345,3.369,2.373,2.077,3.53,2.874,3.699,3.417,2.436,1.733,1.715,2.538,2.077,2.3,2.7,4.115,5.4,3.975,3.625,4.698,3.741,5.329,5.898,8.612,9.626,8.624,9.641,10.744,7.598,5.814002,6.741998,10.766002,8.1,7.246999,8.076999,4.615999,5.50573,5.667568,8.099798,7.5534621,9.54494
        Romania,imports ,0.472,0.553,1.085,2.138,3.074,3.259,4.43,5.15,6.975,7.811,9.576,7.005,4.35,2.99,1.82,0.8,2.242,1.038,1.181,1.2,0.8,0.7,0.436,0.962,2.6,2.321,0.989,1.269,0.921,0.651,0.767,3.41,3.903,2.737,2.811,4.492,4.177,4.842,3.697,5.493,8.251648,8.697
        Spain,imports ,2.306,2.668,1.755,4.084,5.305,3.927,2.896,3.171,3.482,2.759,3.208,3.085,4.351,4.606,5.12,7.635,6.75,4.597,8.965,11.955,12.268,10.177,12.504,9.52,8.111,10.212,9.093,8.773,5.881,6.751,5.206,7.932,7.787,9.886999,12.31,14.956,21.844999,23.762,24.0179999,18.7208398,17.928364,17.3881669
        Sweden,imports ,3.369,3.516,5.945,10.42,5.722,5.174,1.835,2.174,5.064,12.053,12.584,6.225,8.845,7.978,6.7,7.72,15.885,10.253,6.105,8.5,18.308,11.164,20.11,24.287,15.646,14.576,17.537,16.052,12.754,13.765,14.931,12.481,11.682,12.674,13.851999,9.294001,14.287001,11.896,12.202,9.0699998,11.8263966,8.3407188
        Switzerland,imports ,8.487,9.392,8.321,11.021,16.149,14.512,12.3,10.859,12.826,17.697,20.554,19.785,19.5,19.52,16.3,19.5,23.241,20.748,23.61,21.72,24.33,24.096,27.8,30.084,27.056,38.346,33.803,34.818,31.601,31.368,33.400998,34.824002,31.549,29.874,28.53,34.033,34.096,36.496,31.02,29.505,26.988,31.626
        Turkiye,imports ,1.341,1.616,1.773,2.22,2.653,2.142,0.777,0.572,0.381,0.558,0.175,0.76,0.189,0.213,0.033,0,0.27,2.492,3.3,2.33,3.791,4.579,3.588,1.158,0.463,0.636,0.573,0.864,0.789,0.812,1.144001,4.556001,5.826998,7.428999,7.953,7.136,6.330002,2.728269,2.476887,2.211506,1.8895209,2.3304997
        United Kingdom,imports ,0.022,0,0,0,0,0,4.444,11.672,12.843,13.53,11.79,16.425,16.7,16.721,16.9,16.4,16.71,16.615,12.599,14.507,14.308,10.663,9.1825,5.1193,9.7838,11.1601,10.2817,8.6129,12.2937,6.6091,7.1444,8.6889,13.7743,17.53281,23.24314,22.96087,20.01792,18.16698,21.33241,24.55559,22.39072,28.742918
