Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Gibraltar,installed capacity ,0.022,0.023,0.023,0.021,0.021,0.021,0.021,0.027,0.027,0.027,0.027,0.033,0.033,0.033,0.03,0.03,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.0377,0.0377,0.0377,0.0377,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043
        Greece,installed capacity ,5.324,5.962,5.979,5.988,6.538,7.081,7.476,8.01,8.071,8.296,8.458,8.862,8.912,8.766,8.846,8.865,9.048,9.497,9.928,10.603,10.94,11.038,11.622,12.126,12.479,13.354,13.604,13.723,14.293,14.539,15.225,16.569,17.796,18.901,18.942,18.993,19.223,19.49012,19.66331,20.56331,20.87531,21.48731
        Hungary,installed capacity ,5.392,5.395,5.454,5.834,6.16,6.165,6.6,6.824,7.072,7.068,7.11,7.054,7.143,7.266,7.179,7.263,7.395,7.393,7.73,7.725,8.191,8.312,8.474,8.269,8.74,8.844,8.881,8.914,9.013,9.325,9.396,10.043,9.62,8.625,9.092,9.028,9.037,9.233,9.65,10.348,11.067,11.083
        Iceland,installed capacity ,0.68,0.762,0.903,0.903,0.904,0.905,0.907,0.909,0.91,0.914,0.898,0.924,1.023,1.025,1.032,1.03,1.03,1.07,1.104,1.163,1.383,1.46,1.506,1.507,1.509,1.539,1.726,2.364,2.575,2.572,2.579,2.669,2.657,2.766,2.767,2.775,2.776,2.827282,2.977882,2.979882,2.966882,2.966882
        Ireland,installed capacity ,3.082,3.332,3.417,3.397,3.327,3.195,3.723,3.88,3.814,3.805,3.807,3.811,3.927,3.927,3.904,4.054,4.178,4.233,4.385,4.267,4.726,4.735,5.445,5.71,5.833,6.146,6.887,7.544,7.372,7.576,8.454,8.742,8.694,8.953,9.33,9.749,10.136,10.713025,11.090315,11.236774,11.35171,11.39871
        Italy,installed capacity ,46.245,47.293,49.465,50.935,53.489,55.135,54.646,55.635,56.102,55.69,55.961,57.213,60.962,62.808,63.413,65.16,67.41,69.331,71.193,72.363,76.037,76.74,77.307,79.213,82.506,86.406,90.36,94.557,99.819,102.772,108.119,120.758,127.466,127.542,124.774,120.016,117.273,117.357112,118.377371,119.95472,119.436618,120.883618
        Norway,installed capacity ,20.012,21.544,22.369,22.952,23.206,23.651,24.781,25.583,25.689,27.033,27.067,27.073,27.213,27.268,27.5,28.19,28.305,28.138,27.782,28.332,28.476,28.032,28.374,28.479,28.575,29.204,29.383,30.075,30.64,31.341,31.784,32.197,32.975,33.602,33.815,33.957,33.887,34.325,35.468,36.781,38.331,39.412
        Poland,installed capacity ,24.723,24.736,25.994,26.833,27.788,29.039,29.774,30.11,28.256,28.096,27.663,28.077,28.456,28.926,29.444,29.265,29.513,29.745,29.859,30.412,30.575,30.7,30.844,31.683,31.906,32.274,32.379,32.538,32.767,33.1414,33.4944,34.8294,35.8644,36.5484,36.8034,38.2859,39.0774,43.815694,44.037366,44.415829,50.393699,54.768049
        Portugal,installed capacity ,4.437,4.624,5.307,5.633,5.654,6.008,6.453,6.846,6.91,7.337,7.234,7.284,8.013,8.513,8.618,9.152,9.22,9.274,9.572,10.405,11.192,11.27,11.541,11.915,12.996,13.736,14.814,15.386,16.152,17.802,19.475,20.484,20.3153,19.4513,19.687,20.202,21.199,21.514637,21.844538,22.263104,22.438618,23.180618
        Romania,installed capacity ,16.109,16.612,17.47,17.988,18.824,19.574,20.392,21.73,22.376,22.903,22.478,22.268,22.268,22.261,22.06,22.276,23.501,23.489,23.212,22.891,22.56,21.518,20.314,20.023,20.281,19.038,19.31,20.507,19.635,19.453,19.4705,20.421,21.691,22.614,23.602,23.558,23.327,23.33147,23.301268,20.661,20.299755,20.313755
        Spain,installed capacity ,29.923,31.562,32.201,34.169,37.232,39.675,40.224,42.172,42.838,43.554,43.397,43.616,43.747,43.855,44.445,45.629,46.609,47.773,49.003,49.696,54.149,56.106,60.912,65.843,70.2973,77.2483,82.0323,89.5203,94.4163,97.3853,102.8793,103.6883,106.1353,107.0073,107.0383,107.4563,106.65,104.856905,104.747055,110.697869,109.92638,113.99938
        Sweden,installed capacity ,28.317,28.495,30.569,30.64,30.855,33.165,33.078,32.987,33.134,33.798,32.807,33.237,33.486,33.538,33.196,32.268,32.521,32.958,31.414,31.656,35.257,35.78,34.359,35.228,35.647,35.803,37.645,37.468,37.298,39.395,40.734,39.283,42.149,41.994,43.173,44.367,45.139,44.25,46.219,47.192,47.311,49.921
        Switzerland,installed capacity ,15.535,15.55,15.564,15.563,16.585,16.56,16.67,16.704,16.715,16.766,15.015,15.025,15.121,15.169,15.335,15.383,15.429,15.45,15.535,16.535,17.54,17.61,17.628,17.725,17.734,17.783,17.823,17.94,17.981,18.144,18.44,17.5875,18.953,19.33,19.559,19.986,21.207,21.981425,22.429993,22.384798,23.38668,23.87568
        Turkiye,installed capacity ,5.107,5.526,6.639,6.935,8.445,9.104,10.098,12.477,14.503,15.791,16.3,17.181,18.688,20.306,20.829,20.923,21.218,21.86,23.306,25.999,27.3311,28.3993,31.9186,35.66,36.8975,38.909,40.659,40.931,41.929,44.873,49.631,53.0002,57.191,64.141,69.67,73.326,78.724,85.508505,88.941124,91.672763,96.590233,100.630233
        United Kingdom,installed capacity ,73.608,69.098,69.166,68.239,70.016,70.383,69.477,70.597,73.216,74.587,73.082,70.315,67.511,68.113,68.184,69.758,72.844,72.21,72.496,74.446,79.182,80.7825,77.8195,79.8175,82.1835,84.0925,85.3165,85.2915,86.6455,88.645,95.314,96.533,98.706,96.599,100.187,100.524,102.281,108.32452,113.03758,109.61079,109.19957,108.74257
