Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Bahrain,distribution losses ,0.10878,0.11893,0.13167,0.14581,0.094,0.208,0.211,0.288,0.208,0.201,0.242,0.157,0.196,0.201,0.164,0.062,0.216,0.085,0.46,0.393,0.557,0.589,0.543,0.303,0.676,0.411,0.431,0.408,1.938,2.038,1.614,0.484,0.494,0.517,0.569,0.604,0.597,0.632,0.54,0.611,0.6,0.595640644
        Iran,distribution losses ,1.58,2.497,3.414,3.25,3.991,3.734,4.198,4.85,5.024,5.548,6.068,6.76,5.808,9.703,11.741,12.216,11.202,13.838,15.169,16.862,19.205,20.634,23.794,25.785,30.777,32.338,35.733,38.714,37.621,34.547,33.062,34.906,36.794,38.049,34.61,41.56,33.513,33.722,32.853,34.175,34.527,35.28733037
        Iraq,distribution losses ,0.569,0.5,0.683,0.809,0.973,1.049,1.114,1.178,1.2,1.2,1.2,1.2,1.177,1.154,1.131,1.108,1.384,1.149,1.785,2.403,2.74,2.216,2.326,1.667,2.019,9.12,9.561,13.605,18.022,18.425,17.558,20.756,19.797,23.285,34.312,37.484,48.958,52.764865,55.63134,66.724312,59.562512,63.13404857
        Israel,distribution losses ,0.635,0.662,0.646,0.512,0.439,0.379,1.018,0.906,0.933,0.936,1.06,1.067,1.125,1.085,1.049,1.077,1.155,1.899,2.152,1.35,1.438,1.341,1.39,1.437,1.385,1.389,1.375,1.427,1.195,1.761,1.616,1.64,1.736,2.567,1.738,2.472,2.535,2.387,2.513914,2.787,3.197,3.2
        Jordan,distribution losses ,0.2,0.2,0.238,0.254,0.304,0.314,0.397,0.479,0.483,0.503,0.308,0.337,0.386,0.424,0.436,0.528,0.594,0.637,0.695,0.783,0.809,0.906,1.001,1.126,1.095,1.291,1.52,1.869,1.948,2.024,1.989,2.148,1.761,1.788,1.958,2.19,2.054,1.997,2.059,2.249,2.307,2.307
        Kuwait,distribution losses ,0.722,0.801,0.936,1,1.112,1.233,1.27,1.348,1.431,1.486,1.247,0.69,1.013,1.09,1.85,2.61,2.802,2.94,3.298,3.473,3.556,3.773,4,4.378,4.538,4.967,5.437,5.951,6.514,6.615,6.471,6.865,7.283,7.727,5.754,6.041,6.192,6.487,6.579,6.701,6.636,6.64221892
        Lebanon,distribution losses ,0.282,0.305,0.333,0.364,0.383,0.39,0.42,0.5,0.4,0.25,0.1,0.2,0.4,0.52,0.829,1.086,0.918,1.123,1.35,1.43,1.385,1.416,1.529,1.582,1.561,1.587,1.532,1.582,1.678,1.789,1.869,1.868,1.645,1.838,1.878,1.878,1.969,2.254708,2.287767,2.21879,1.873081,1.802379329
        Oman,distribution losses ,0.098,0.125,0.157,0.193,0.241,0.299,0.38,0.405,0.451,0.469,0.538,0.545,0.633,0.711,0.786,0.854,0.94,1.047,1.304,1.462,1.849,1.852,2.108,2.244,2.134,2.809,2.792,2.94,2.87,3.34,3.027,2.842,3.41,2.871,3.17,3.17,3.249,3.317,3.67,3.562,3.742,3.777953012
        Qatar,distribution losses ,0.243,0.293,0.282,0.291,0.3,0.215,0.199,0.216,0.321,0.23,0.25,0.262,0.28,0.323,0.36,0.462,0.392,0.412,0.526,0.596,0.633,0.694,0.764,0.837,0.916,1.019,1.214,1.388,1.53,1.517,1.767,1.915,2.168,2.159,2.341,2.475,2.532,2.695,2.786,2.772,2.774,2.885428571
        Saudi Arabia,distribution losses ,1.349,3.77,3.733,3.204,2.162,4.03,0.745,3.261,4.969,4.435,3.985,4.874,6.19,6.751,5.856,5.957,6.563,8.025,6.38,5.669,9.131,7.575,9.828,7.002,12.927,18.579,13.798,15.69,17.712,17.965,21.388,23.508,23.78,20.017,21.144,25.275,26.186,32.423,33.105,31.055,35.779,37.34907143
        Syria,distribution losses ,0.709,0.826,0.919,1.011,1.107,1.175,1.138,1.15,2.254,2.276,3.038,3.201,3.3,3.315,4.699,4.679,5.163,5.639,6.21,6.596,7.741,7.528,6.938,6.745,6.613,6.767,7.19,8.428,8.766,9.248,9.852,8.879,6.895,5.264,4.51,3.79,3.865,3.795708,3.795265,3.700786,3.7,3.7
        United Arab Emirates,distribution losses ,0.441,0.506,0.625,0.71,0.77,0.839,0.897,0.956,1.039,1.405,1.537,1.561,1.682,1.956,2.136,2.273,2.418,1.885,1.793,0.884,1.351,3.098,3.362,3.548,3.761,3.757,4.132,4.875,4.98,5.304,5.815,6.136,6.574,6.807,7.212,7.883,8.022,8.219,7.909,7.011,7,6.989
        Yemen,distribution losses ,0,0.034,0.04,0.059,0.08,0.072,0.145,0.124,0.133,0.133,0.192,0.33,0.417,0.488,0.409,0.513,0.548,0.664,0.71,0.897,0.948,1.03,0.934,0.978,0.977,1.075,1.376,1.532,1.508,1.639,1.854,1.59,2.33,2.19,1.924,1.423,1.164,0.958761,0.731799,0.674994,0.589554,0.589554
