Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Bahrain,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0.019,0.107,0.19,0.053,0.237,0.213,0.293,0.513,0.447,0.447,0.447,0.447
        Iran,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0.197,0.157,0.384,0.522,0.617,0.864,0.86,1.049,0.791,0.919,1.837,2.761,2.775,2.52,3.875,6.152,6.707,8.668,11.029,11.586,9.66,6.822,6.688,8.172,6.295,6.365,6.365,6.365
        Iraq,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Israel,exports ,0.165,0.181,0.201,0.194,0.199,0.233,0.297,0.357,0.375,0.38,0.39,0.36,0.35,0.32,0.33,0.914,0.979,1.17,1.055,1.272,1.457,1.399,1.387,1.47,1.459,1.667,1.844,2.081,3.666,3.783,3.966,4.222,4.434,4.675,4.844,5.197,5.553,5.649,5.863,6.311,6.243,6.523
        Jordan,exports ,0,0,0,0,0,0.022,0.214,0.1,0,0,0,0,0,0,0,0,0.002,0.003,0.004,0.007,0.005,0.002,0,0.003,0,0.004,0.013,0.176,0.323,0.139,0.058,0.086,0.104,0.059,0.064,0.05,0.046,0.057,0.094,0.098,0.1901,0.170211879
        Kuwait,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Lebanon,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Oman,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Qatar,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Saudi Arabia,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.074,0.4697,0.482,0.5153,0.5117,1.0622,0.0378,0.385,0.033,0.832,0.301707833
        Syria,exports ,0.067,0.046,0.129,0.097,0,0.073,0.062,0.021,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0.367,0.664,0.903,1.142,0.991,0.59,0.614,1.043,1.192,0,0.529,0.138,0.262,0.067,0.543,0.543,0.347,0.317,0.317
        United Arab Emirates,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.249,0.242,0.276,0.249,0.506,0.617,0.517,0.257,0.235,0.235
        Yemen,exports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
