Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Bahrain,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.013,0.085,0.168,0.192,0.227,0.035,0.07,0.24,0.205,0.276,0.556,0.652,0.652,0.652,0.652
        Iran,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.138,0.745,0.977,1.489,2.17,2.084,2.54,1.842,1.684,2.068,3.015,3.656,3.897,3.707,3.772,4.148,4.221,3.852,2.588,2.738,2.738,2.738
        Iraq,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.318,1.241,2.688,2.196,2.973,5.585,5.442,7.233,10.17,12.202,12.251,13.104,11.965,11.787,21.793,34.396,18.609,18.609
        Israel,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.004,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Jordan,imports ,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.14,0.145,0.604,0.296,0.45,0.407,0.65,0.425,0.3,0.322,0.972,0.788,0.741,0.472,0.208,0.547,0.383,0.67,1.738,0.784,0.381,0.435,0.604,0.334,0.051,0.188,0.239,0.381,0.304002067
        Kuwait,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Lebanon,imports ,0.232,0.227,0.33,0.291,0.199,0.328,0.373,0.312,0.355,0.38,0.39,0.12,0.11,0.09,0.1,0.31,0.685,0.608,1.054,1.25,1.4,1.1,0.9,0.532,0.216,0.455,0.929,0.972,0.561,1.155,1.245,0.84,0.323,0.522,0.136,0.268,0.069,0.534,0.011,0.09,0,0.09
        Oman,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Qatar,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Saudi Arabia,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0.416,0.434,0.465,0.461,0.343,0.003,0.351,0.337,0.464,0
        Syria,imports ,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0.09,0.085,0,0,0,0,0,0,0,0,0.118,0.115,0.238,0.36,1.396,0.548,0.542,0.69,0.902,0,0,0,0,0,0,0,0,0,0
        United Arab Emirates,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.215,0.226,0.248,0.234,1.141,0.514,0.488,0.245,0.206,0.206
        Yemen,imports ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
