Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Bahrain,installed capacity ,0.588,0.588,0.738,1.047,1.062,1.082,1.082,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.08,1.1,1.1,1.1,1.163,1.449,1.479,2.506,2.629,1.849,2.319,5.2,5.2,5.47783,5.86883,5.86883,5.76783,6.934,6.928509,6.981,6.978,6.978009,6.978009,6.978349,6.981,6.982,6.983
        Iran,installed capacity ,11.832,11.908,12.522,13.025,13.404,13.404,13.404,13.404,16.546,17.427,17.952,18.154,19.784,22.688,25.07,26.571,27.35,29.447,30.57,31.395,33.126,35.037,36.44,39.63,41.918,40.0651,45.0193,49.0691,55.624,60.7546,66.4946,65.1194,68.853,70.33926,72.6336,73.9156,74.232,76.454478,78.761,80.487,80.573,80.619
        Iraq,installed capacity ,1.414,1.744,2.33,2.9,3.4,4.1,6.1,8,9.6,9.84,8.972,5.808,7.108,7.15,7.15,7.15,7.15,7.15,5.55,5.55,5.84,5.84,5.53,5.63,7.83,9.327,9.69,9.738,13.3185,14.6235,14.4105,17.192,17.192,27.38,25.866,31.388,32.454,27.09,28.19,28.19,28.19,28.19
        Israel,installed capacity ,3.127,3.477,3.787,4.137,4.137,4.137,4.142,4.142,4.142,4.142,4.14,4.14,5.84,6.12,6.35,6.925,7.741,7.859,8.33,8.5856,9.1376,9.694,9.892,10.028,10.268,10.605,11.089,11.569,12.018,12.21,13.033,13.881,14.464,14.901,16.149,17.279,17.631,17.864429,17.972394,18.957446,19.813946,19.896946
        Jordan,installed capacity ,0.522,0.642,0.572,0.7,0.712,0.986,0.984,0.984,1.052,1.048,1.048,1.048,1.048,1.006,1.066,1.126,1.26,1.276,1.65,1.654,1.662,1.662,1.7901,1.7902,1.9073,1.9068,2.1019,2.198,2.5361,2.6172,3.1804,3.5164,3.5155,3.3895,4.2036,4.4732,4.4832,4.5142,4.7542,5.333,5.736,5.913
        Kuwait,installed capacity ,2.846,3.446,4.03,5.23,5.23,5.23,5.53,6.856,7.578,7.602,7.473,6.908,6.968,6.988,6.988,6.988,6.988,6.992,7.59,8.465,9.365,9.392,9.281,9.856,9.856,10.858,10.858,10.944,11.641,12.579,13.383,14.703,15.349,15.7215,15.7234,18.2644,18.9034,18.807409,18.918469,19.3714,19.3714,19.3714
        Lebanon,installed capacity ,0.668,0.709,0.709,0.819,0.819,0.819,0.819,0.819,1.199,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.262,1.309,1.344,2.2925,2.2925,2.294,2.531,2.663,2.663,2.32,2.314,2.314,2.314,2.314,3.2183,3.264,3.212,3.545,3.548,3.655,3.675,3.709,3.73,3.751,3.78,3.78
        Oman,installed capacity ,0.479,0.611,0.644,0.904,1.107,1.157,1.412,1.477,1.497,1.531,1.564,1.539,1.539,1.715,1.744,1.958,2.037,2.14,2.201,2.009,2.305,2.302,2.304,2.788,3.024,2.983,3.314,3.42,3.859,4.202,4.265,4.861,5.808,6.599,8.215,7.87,8.16479,8.22779,8.449761,8.500761,8.603761,8.629761
        Qatar,installed capacity ,0.685,0.805,0.865,0.905,1.005,1.005,1.005,1.005,1.105,1.1,1.105,1.105,1.11,1.11,1.303,1.365,1.445,1.475,1.9,1.9,2.248,2.338,2.538,2.676,2.9,2.829,3.028,3.164,4.314,5.321,7.83,7.8307,7.85,8.811,8.814,8.584,8.583,10.194,10.603,10.614,10.614,10.614
        Saudi Arabia,installed capacity ,7.359,9.145,10.974,12.123,15.071,15.249,15.581,16.861,16.909,19.059,19.459,19.311,19.258,19.786,19.711,19.855,21.135,21.66,22.458,22.917,23.792,25.282,28.457,30.219,30.673,33.535,40.385,41.694,45.774,44.582,46.376,51.152,53.602,58.484,65.53,69.179264,74.726264,80.508388,77.028388,76.485,76.485,76.815
        Syria,installed capacity ,1.104,1.808,1.967,2.834,2.918,2.918,3.024,3.23,3.23,3.258,3.545,3.592,3.618,3.735,4.201,4.33,4.53,4.58,4.71,5.99,7.466,8.269,7.809,7.678,7.678,7.577,7.8033,8.5303,7.6424,8.3296,8.2136,8.2136,8.2136,8.2136,9.6106,9.1276,9.6896,9.6971,10.066,10.067,10.082,10.082
        United Arab Emirates,installed capacity ,1.303,3.033,3.574,3.746,3.859,4.01,4.234,4.138,4.721,4.721,4.7,4.7,4.756,4.756,5.29,5.39,5.49,5.6,5.71,5.82,8.28,8.611,9.13,12.172,13.55,15.71,17.28,17.7,19.814,20.575,23.21,26.089,27.183,27.863,28.8417,28.7587,28.78,30.404,30.9475,33.206,34.694,36.628
        Yemen,installed capacity ,0.234,0.234,0.254,0.254,0.42,0.638,0.638,0.638,0.638,0.638,0.622,0.7,0.715,0.724,0.726,0.729,0.757,0.754,0.775,0.787,0.873,0.873,0.928,1.087,0.7398,0.7992,0.91,0.9474,0.9942,1.3354,1.3354,1.536,1.536,1.537,1.524,1.579,1.599,1.619,1.769,1.769,1.772,1.772
