Country,Features,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Bermuda,net generation,0.311,0.32,0.331,0.345,0.358,0.37,0.387,0.409,0.431,0.438,0.461,0.482,0.486,0.487,0.495,0.49,0.494,0.498,0.51,0.55,0.595,0.643681818,0.643,0.624,0.627164,0.652436,0.666401,0.67555,0.685,0.69372,0.686411,0.674,0.658,0.637,0.62,0.634,0.625,0.633,0.602,0.574434,0.545404156,0.580310022
        Canada,net generation,367.797,380.221,378.43,397.358,426.983,447.981,457.507,484.209,491.189,485.342,468.889,494.452,505.847,518.405,540.122,544.484,557.591,557.9619,546.056,563.107,588.327,572.26504,583.84304,572.28816,582.3095,606.362,592.531,612.876,614.73,595.05,581.707868,611.421342,612.174504,637.650107,635.978212,638.850534,644.788913,644.58814,635.7934577,627.8128689,623.9828667,625.8546594
        Greenland,net generation,0.151,0.154,0.159,0.165,0.171,0.174,0.179,0.183,0.188,0.197,0.207,0.202,0.203,0.237,0.24,0.242,0.243,0.258,0.264,0.448,0.421,0.388,0.382,0.33,0.33582,0.34964,0.38212,0.38824,0.40034,0.4248,0.41426,0.45062,0.43882,0.45014,0.47566,0.51018,0.48066,0.46766,0.51252,0.4987,0.593712054,0.599709626
        Mexico,net generation,63.653,73.303,80.369,82.027,86.726,93.132,96.907,104.685,109.833,117.729,116.832,122.249,126.233,131.997312,142.268,148.001,156.488,167.92369,174.023,183.925,194.12156,201.17258,204.74256,202.52702,220.58462,231.36152,236.78452,243.9274,247.07938,245.44672,264.416771,280.24882,284.747529,287.276501,290.184395,297.866957,303.03609,309.142926,332.0100742,318.0778573,325.5056802,336.9582235
        Saint Pierre and Miquelon,net generation,0.016,0.02,0.024,0.024,0.03,0.033,0.035,0.036,0.038,0.042,0.04,0.042,0.042,0.04,0.041,0.039,0.039,0.039,0.04,0.04,0.041,0.04,0.047,0.049,0.045,0.04,0.04,0.039,0.041,0.041,0.044,0.044,0.045,0.045,0.0454678,0.04573194,0.04556368,0.0457592,0.04781686,0.04900032,0.051206,0.054483184
        United States,net generation,2289.600364,2297.973338,2244.372487,2313.445686,2419.465367,2473.00212,2490.470952,2575.287667,2707.411178,2967.177014,3037.862541,3073.83819,3083.925424,3197.238487,3247.575463,3353.548041,3444.257336,3492.250345,3620.383801,3694.912538,3802.221573,3736.784538,3858.619244,3883.380201,3970.796829,4055.785197,4065.230825,4157.491035,4120.587091,3951.942958,4127.598158,4104.174499,4054.26169,4074.145289,4104.796801,4092.85304,4096.386172,4059.433178,4210.526978,4165.531327,4051.289226,4164.564719
        Bermuda,net consumption,0.28923,0.2976,0.30783,0.32085,0.33294,0.3441,0.35991,0.38037,0.40083,0.40734,0.42873,0.44826,0.45198,0.45291,0.46035,0.4557,0.45942,0.46314,0.4743,0.5115,0.595,0.643681818,0.643,0.624,0.627164,0.652436,0.666401,0.67555,0.685,0.69372,0.686411,0.674,0.658,0.637,0.62,0.634,0.625,0.5883,0.5645,0.533434,0.504404156,0.539310022
        Canada,net consumption,309.4796186,319.0600113,319.1662899,331.6464341,356.7081734,372.3747488,389.3921382,405.2380648,422.242689,434.632367,433.827893,439.87071,444.724821,455.060803,459.642142,466.698881,473.652624,482.487399,479.436168,490.033692,505.225524,505.604054,513.18464,528.233048,534.064122,560.37862,550.193991,560.760367,559.070389,535.105882,530.103604,548.219153,539.186083,560.744571,559.348308,543.406076,548.451276,547.034675,554.0621157,547.2500179,533.5070587,554.7443874
        Greenland,net consumption,0.14043,0.14322,0.14787,0.15345,0.15903,0.16182,0.16647,0.17019,0.17484,0.18321,0.19251,0.18786,0.18879,0.22041,0.2232,0.22506,0.22599,0.23994,0.24552,0.41664,0.421,0.388,0.382,0.33,0.28482,0.29664,0.32412,0.32824,0.33834,0.3608,0.35126,0.38362,0.37282,0.38214,0.40566,0.43718,0.46466,0.45166,0.49552,0.4817,0.576712054,0.582709742
        Mexico,net consumption,56.71,64.407,69.956,72.852,77.006,82.01,84.793,91.09,94.987,101.542,100.471,104.712,108.144,112.418312,120.955,125.452,132.938,144.58669,148.949,156.832,166.51256,171.14658,174.02456,172.57702,184.40962,192.27152,196.40852,202.2494,204.56938,202.09172,219.213769,233.949821,241.758528,244.726501,248.333396,256.556957,263.298089,265.574923,291.1822412,278.8829731,292.5304682,300.9570645
